,ano,cnae_secao,Estado,ativo_problematico_deflacionado
192,2012,"PJ - Administração pública, defesa e seguridade social",ACRE,546.5181667464811
193,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,1209412.1588070148
194,2012,PJ - Alojamento e alimentação,ACRE,7183778.63766133
195,2012,"PJ - Artes, cultura, esporte e recreação",ACRE,890417.9899553725
196,2012,PJ - Atividades administrativas e serviços complementares,ACRE,3991531.141961525
197,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",ACRE,270021.6864926125
198,2012,PJ - Atividades imobiliárias,ACRE,94138.37714589582
199,2012,"PJ - Atividades profissionais, científicas e técnicas",ACRE,939590.5687580096
200,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,ACRE,60076574.52381323
201,2012,PJ - Construção,ACRE,37399812.064959385
202,2012,PJ - Educação,ACRE,814064.1352638135
203,2012,PJ - Eletricidade e gás,ACRE,0.0
204,2012,PJ - Indústrias de transformação,ACRE,23681519.360801417
205,2012,PJ - Indústrias extrativas,ACRE,152589.05903946553
206,2012,PJ - Informação e comunicação,ACRE,565790.1361668817
207,2012,PJ - Outras atividades de serviços,ACRE,740562.1874697465
208,2012,PJ - Saúde humana e serviços sociais,ACRE,3537618.883695064
209,2012,"PJ - Transporte, armazenagem e correio",ACRE,1858649.4544678926
210,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,838366.0575662582
211,2012,"PJ - Administração pública, defesa e seguridade social",ALAGOAS,32866.10715056718
212,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",ALAGOAS,33506740.33719408
213,2012,PJ - Alojamento e alimentação,ALAGOAS,15427928.30186992
214,2012,"PJ - Artes, cultura, esporte e recreação",ALAGOAS,2040583.8742791587
215,2012,PJ - Atividades administrativas e serviços complementares,ALAGOAS,20035467.05406043
216,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",ALAGOAS,201183.88789204785
217,2012,PJ - Atividades imobiliárias,ALAGOAS,2392783.6865565428
218,2012,"PJ - Atividades profissionais, científicas e técnicas",ALAGOAS,5405490.558806045
219,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,ALAGOAS,230331172.28133363
220,2012,PJ - Construção,ALAGOAS,45867675.48754035
221,2012,PJ - Educação,ALAGOAS,4026321.2943449393
222,2012,PJ - Eletricidade e gás,ALAGOAS,1521357.9684737332
223,2012,PJ - Indústrias de transformação,ALAGOAS,204463057.092645
224,2012,PJ - Indústrias extrativas,ALAGOAS,6639446.372396665
225,2012,PJ - Informação e comunicação,ALAGOAS,2106850.110229601
226,2012,PJ - Outras atividades de serviços,ALAGOAS,5031299.348512074
227,2012,PJ - Saúde humana e serviços sociais,ALAGOAS,9824150.251193045
228,2012,"PJ - Transporte, armazenagem e correio",ALAGOAS,18694684.54241256
229,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",ALAGOAS,218481.61678352865
230,2012,"PJ - Administração pública, defesa e seguridade social",AMAZONAS,16234.060324996402
231,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",AMAZONAS,14641938.420426061
232,2012,PJ - Alojamento e alimentação,AMAZONAS,26675457.471949156
233,2012,"PJ - Artes, cultura, esporte e recreação",AMAZONAS,3055752.106125045
234,2012,PJ - Atividades administrativas e serviços complementares,AMAZONAS,24712515.88705676
235,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",AMAZONAS,1452870.0152997153
236,2012,PJ - Atividades imobiliárias,AMAZONAS,2452112.5483741956
237,2012,"PJ - Atividades profissionais, científicas e técnicas",AMAZONAS,20767204.113420658
238,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,AMAZONAS,333612503.8042816
239,2012,PJ - Construção,AMAZONAS,100618958.12616597
240,2012,PJ - Educação,AMAZONAS,4234548.8813811615
241,2012,PJ - Eletricidade e gás,AMAZONAS,0.0
242,2012,PJ - Indústrias de transformação,AMAZONAS,342025343.0444011
243,2012,PJ - Indústrias extrativas,AMAZONAS,1998057.5597167814
244,2012,PJ - Informação e comunicação,AMAZONAS,5317564.472472904
245,2012,PJ - Outras atividades de serviços,AMAZONAS,8758599.6749454
246,2012,PJ - Saúde humana e serviços sociais,AMAZONAS,8900323.649261575
247,2012,"PJ - Transporte, armazenagem e correio",AMAZONAS,115103512.2485597
248,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",AMAZONAS,2261557.4145674305
249,2012,"PJ - Administração pública, defesa e seguridade social",AMAPÁ,0.0
250,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",AMAPÁ,133909.20010285778
251,2012,PJ - Alojamento e alimentação,AMAPÁ,6910808.590938
252,2012,"PJ - Artes, cultura, esporte e recreação",AMAPÁ,524538.1049922879
253,2012,PJ - Atividades administrativas e serviços complementares,AMAPÁ,11861998.167996785
254,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",AMAPÁ,253708.10114568434
255,2012,PJ - Atividades imobiliárias,AMAPÁ,286220.0071581471
256,2012,"PJ - Atividades profissionais, científicas e técnicas",AMAPÁ,1160784.9379160802
257,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,AMAPÁ,76401976.76403266
258,2012,PJ - Construção,AMAPÁ,16602265.475190572
259,2012,PJ - Educação,AMAPÁ,3651409.8890185766
260,2012,PJ - Indústrias de transformação,AMAPÁ,9635033.529311314
261,2012,PJ - Indústrias extrativas,AMAPÁ,3421796.062563658
262,2012,PJ - Informação e comunicação,AMAPÁ,58231.964307539085
263,2012,PJ - Outras atividades de serviços,AMAPÁ,1630633.4894139373
264,2012,PJ - Saúde humana e serviços sociais,AMAPÁ,2324938.628800199
265,2012,"PJ - Transporte, armazenagem e correio",AMAPÁ,4131037.6216216628
266,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",AMAPÁ,2522803.749793961
267,2012,"PJ - Administração pública, defesa e seguridade social",BAHIA,5146049.104913198
268,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",BAHIA,109985226.46813531
269,2012,PJ - Alojamento e alimentação,BAHIA,107871127.94031833
270,2012,"PJ - Artes, cultura, esporte e recreação",BAHIA,14698836.395762501
271,2012,PJ - Atividades administrativas e serviços complementares,BAHIA,180568826.17751595
272,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",BAHIA,29923682.841715146
273,2012,PJ - Atividades imobiliárias,BAHIA,17454212.907681514
274,2012,"PJ - Atividades profissionais, científicas e técnicas",BAHIA,163622513.032191
275,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,BAHIA,1356666875.7056634
276,2012,PJ - Construção,BAHIA,480301072.9799631
277,2012,PJ - Educação,BAHIA,34960899.16760048
278,2012,PJ - Eletricidade e gás,BAHIA,4679211.60545957
279,2012,PJ - Indústrias de transformação,BAHIA,567466622.2318625
280,2012,PJ - Indústrias extrativas,BAHIA,25976723.429834656
281,2012,PJ - Informação e comunicação,BAHIA,28025376.89696354
282,2012,PJ - Organismos internacionais e outras instituições extraterritoriais,BAHIA,0.0
283,2012,PJ - Outras atividades de serviços,BAHIA,57222523.74128859
284,2012,PJ - Saúde humana e serviços sociais,BAHIA,59538131.332739055
285,2012,PJ - Serviços domésticos,BAHIA,0.0
286,2012,"PJ - Transporte, armazenagem e correio",BAHIA,499070110.9642278
287,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",BAHIA,12826265.26927177
288,2012,"PJ - Administração pública, defesa e seguridade social",CEARÁ,26865.838681622812
289,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",CEARÁ,119375446.7728571
290,2012,PJ - Alojamento e alimentação,CEARÁ,30197370.762960784
291,2012,"PJ - Artes, cultura, esporte e recreação",CEARÁ,5470575.693163118
292,2012,PJ - Atividades administrativas e serviços complementares,CEARÁ,105276287.47366537
293,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",CEARÁ,22065224.189094465
294,2012,PJ - Atividades imobiliárias,CEARÁ,66631199.95670297
295,2012,"PJ - Atividades profissionais, científicas e técnicas",CEARÁ,26960092.361491248
296,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,CEARÁ,789843559.7929457
297,2012,PJ - Construção,CEARÁ,205477604.340775
298,2012,PJ - Educação,CEARÁ,5099507.166665041
299,2012,PJ - Eletricidade e gás,CEARÁ,0.0
300,2012,PJ - Indústrias de transformação,CEARÁ,423985246.3296753
301,2012,PJ - Indústrias extrativas,CEARÁ,13301991.691841744
302,2012,PJ - Informação e comunicação,CEARÁ,5899905.684879765
303,2012,PJ - Outras atividades de serviços,CEARÁ,20121015.511520922
304,2012,PJ - Saúde humana e serviços sociais,CEARÁ,3597015.268552147
305,2012,"PJ - Transporte, armazenagem e correio",CEARÁ,107745687.78415
306,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",CEARÁ,3466693.976476571
307,2012,"PJ - Administração pública, defesa e seguridade social",DISTRITO FEDERAL,846487.2151934202
308,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",DISTRITO FEDERAL,3756036.4772248687
309,2012,PJ - Alojamento e alimentação,DISTRITO FEDERAL,62831367.40842467
310,2012,"PJ - Artes, cultura, esporte e recreação",DISTRITO FEDERAL,14508410.012224441
311,2012,PJ - Atividades administrativas e serviços complementares,DISTRITO FEDERAL,157737049.65049896
312,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",DISTRITO FEDERAL,5342348.3380917115
313,2012,PJ - Atividades imobiliárias,DISTRITO FEDERAL,8037902.328202825
314,2012,"PJ - Atividades profissionais, científicas e técnicas",DISTRITO FEDERAL,30392158.96366087
315,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,DISTRITO FEDERAL,598601213.2956711
316,2012,PJ - Construção,DISTRITO FEDERAL,276226352.6037555
317,2012,PJ - Educação,DISTRITO FEDERAL,23799055.65038552
318,2012,PJ - Eletricidade e gás,DISTRITO FEDERAL,258239.29652351985
319,2012,PJ - Indústrias de transformação,DISTRITO FEDERAL,73230501.21927792
320,2012,PJ - Indústrias extrativas,DISTRITO FEDERAL,235672.4500463903
321,2012,PJ - Informação e comunicação,DISTRITO FEDERAL,36482021.54723862
322,2012,PJ - Organismos internacionais e outras instituições extraterritoriais,DISTRITO FEDERAL,0.0
323,2012,PJ - Outras atividades de serviços,DISTRITO FEDERAL,28279367.681887254
324,2012,PJ - Saúde humana e serviços sociais,DISTRITO FEDERAL,13858621.557376644
325,2012,"PJ - Transporte, armazenagem e correio",DISTRITO FEDERAL,139038315.2854077
326,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",DISTRITO FEDERAL,1000162.6533653081
327,2012,"PJ - Administração pública, defesa e seguridade social",ESPÍRITO SANTO,6399926.098172623
328,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",ESPÍRITO SANTO,40482432.7297082
329,2012,PJ - Alojamento e alimentação,ESPÍRITO SANTO,31862187.45822624
330,2012,"PJ - Artes, cultura, esporte e recreação",ESPÍRITO SANTO,3038483.9542268924
331,2012,PJ - Atividades administrativas e serviços complementares,ESPÍRITO SANTO,56377502.498832636
332,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",ESPÍRITO SANTO,1850588.8773704732
333,2012,PJ - Atividades imobiliárias,ESPÍRITO SANTO,1861582.5792184456
334,2012,"PJ - Atividades profissionais, científicas e técnicas",ESPÍRITO SANTO,19667400.354627952
335,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,ESPÍRITO SANTO,539127380.330246
336,2012,PJ - Construção,ESPÍRITO SANTO,85460801.52337818
337,2012,PJ - Educação,ESPÍRITO SANTO,14918185.940380465
338,2012,PJ - Eletricidade e gás,ESPÍRITO SANTO,0.0
339,2012,PJ - Indústrias de transformação,ESPÍRITO SANTO,345821743.25393087
340,2012,PJ - Indústrias extrativas,ESPÍRITO SANTO,11266595.31786311
341,2012,PJ - Informação e comunicação,ESPÍRITO SANTO,6840551.990624698
342,2012,PJ - Outras atividades de serviços,ESPÍRITO SANTO,12961898.874657657
343,2012,PJ - Saúde humana e serviços sociais,ESPÍRITO SANTO,7220565.09444007
344,2012,PJ - Serviços domésticos,ESPÍRITO SANTO,15324.933926222116
345,2012,"PJ - Transporte, armazenagem e correio",ESPÍRITO SANTO,213482782.89278618
346,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",ESPÍRITO SANTO,6371595.694276044
347,2012,"PJ - Administração pública, defesa e seguridade social",GOIÁS,1484080.1151531115
348,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",GOIÁS,53886284.02972384
349,2012,PJ - Alojamento e alimentação,GOIÁS,56133267.38558408
350,2012,"PJ - Artes, cultura, esporte e recreação",GOIÁS,6344948.3829747075
351,2012,PJ - Atividades administrativas e serviços complementares,GOIÁS,84985906.01460469
352,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",GOIÁS,10600692.61328901
353,2012,PJ - Atividades imobiliárias,GOIÁS,8366972.418142273
354,2012,"PJ - Atividades profissionais, científicas e técnicas",GOIÁS,38930061.600409314
355,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,GOIÁS,997517967.7523386
356,2012,PJ - Construção,GOIÁS,618968949.2247854
357,2012,PJ - Educação,GOIÁS,19878575.293804444
358,2012,PJ - Eletricidade e gás,GOIÁS,0.0
359,2012,PJ - Indústrias de transformação,GOIÁS,580803875.6912321
360,2012,PJ - Indústrias extrativas,GOIÁS,10329373.761657504
361,2012,PJ - Informação e comunicação,GOIÁS,19909005.245774664
362,2012,PJ - Outras atividades de serviços,GOIÁS,17247429.17245463
363,2012,PJ - Saúde humana e serviços sociais,GOIÁS,12640687.819808358
364,2012,PJ - Serviços domésticos,GOIÁS,33073.86888569305
365,2012,"PJ - Transporte, armazenagem e correio",GOIÁS,306882129.121582
366,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",GOIÁS,4193173.1784312506
