,ano,ocupacao,Estado,ativo_problematico_deflacionado
0,2012,PF - Aposentado/pensionista,ACRE,21775491.61440458
1,2012,PF - Autônomo,ACRE,17033315.02194375
2,2012,PF - Empregado de empresa privada,ACRE,12907596.180627724
3,2012,PF - Empregado de entidades sem fins lucrativos,ACRE,41677.350240706524
4,2012,PF - Empresário,ACRE,52180814.603544734
5,2012,PF - Outros,ACRE,193157310.85136804
6,2012,PF - Servidor ou empregado público,ACRE,134499925.67960152
7,2012,PF - Aposentado/pensionista,ALAGOAS,76147849.52550757
8,2012,PF - Autônomo,ALAGOAS,117104355.01001926
9,2012,PF - Empregado de empresa privada,ALAGOAS,89258389.18737318
10,2012,PF - Empregado de entidades sem fins lucrativos,ALAGOAS,796442.4669682379
11,2012,PF - Empresário,ALAGOAS,186834704.94817382
12,2012,PF - Outros,ALAGOAS,1022352869.9662473
13,2012,PF - Servidor ou empregado público,ALAGOAS,242630132.54166296
14,2012,PF - Aposentado/pensionista,AMAZONAS,57496731.342670366
15,2012,PF - Autônomo,AMAZONAS,120409919.04281199
16,2012,PF - Empregado de empresa privada,AMAZONAS,223818353.02503556
17,2012,PF - Empregado de entidades sem fins lucrativos,AMAZONAS,2477251.3379129367
18,2012,PF - Empresário,AMAZONAS,149717157.3526816
19,2012,PF - Outros,AMAZONAS,805047202.9583856
20,2012,PF - Servidor ou empregado público,AMAZONAS,375400039.79552037
21,2012,PF - Aposentado/pensionista,AMAPÁ,17744641.235965572
22,2012,PF - Autônomo,AMAPÁ,12213227.778810717
23,2012,PF - Empregado de empresa privada,AMAPÁ,18737714.141375873
24,2012,PF - Empregado de entidades sem fins lucrativos,AMAPÁ,495740.7269714696
25,2012,PF - Empresário,AMAPÁ,35744689.92826326
26,2012,PF - Outros,AMAPÁ,222246523.94313896
27,2012,PF - Servidor ou empregado público,AMAPÁ,241879510.7907995
28,2012,PF - Aposentado/pensionista,BAHIA,277902304.4188402
29,2012,PF - Autônomo,BAHIA,665613487.8373898
30,2012,PF - Empregado de empresa privada,BAHIA,671937621.3970445
31,2012,PF - Empregado de entidades sem fins lucrativos,BAHIA,6754544.053146313
32,2012,PF - Empresário,BAHIA,1038902451.4553589
33,2012,PF - Outros,BAHIA,3698481339.3850985
34,2012,PF - Servidor ou empregado público,BAHIA,858399625.1496681
35,2012,PF - Aposentado/pensionista,CEARÁ,178546742.037333
36,2012,PF - Autônomo,CEARÁ,287989529.01561207
37,2012,PF - Empregado de empresa privada,CEARÁ,230936433.74249157
38,2012,PF - Empregado de entidades sem fins lucrativos,CEARÁ,2396213.3243835145
39,2012,PF - Empresário,CEARÁ,436433416.33965725
40,2012,PF - Outros,CEARÁ,2127491884.3438404
41,2012,PF - Servidor ou empregado público,CEARÁ,445626031.6868031
42,2012,PF - Aposentado/pensionista,DISTRITO FEDERAL,240849727.54894957
43,2012,PF - Autônomo,DISTRITO FEDERAL,219481495.32657287
44,2012,PF - Empregado de empresa privada,DISTRITO FEDERAL,415820613.85092175
45,2012,PF - Empregado de entidades sem fins lucrativos,DISTRITO FEDERAL,11266784.173147196
46,2012,PF - Empresário,DISTRITO FEDERAL,491157709.60097
47,2012,PF - Outros,DISTRITO FEDERAL,1723851099.49339
48,2012,PF - Servidor ou empregado público,DISTRITO FEDERAL,1310244948.2857902
49,2012,PF - Aposentado/pensionista,ESPÍRITO SANTO,121550616.1427856
50,2012,PF - Autônomo,ESPÍRITO SANTO,212568905.42079297
51,2012,PF - Empregado de empresa privada,ESPÍRITO SANTO,300938957.4690597
