,Unnamed: 0,ano,cliente,uf,ocupacao,ativo_problematico,coluna_estado
2,2,2012,PF,AC,PF - Empregado de empresa privada,6786123.2,ACRE
9,9,2012,PF,AL,PF - Empregado de empresa privada,46927283.53,ALAGOAS
16,16,2012,PF,AM,PF - Empregado de empresa privada,117671710.27,AMAZONAS
23,23,2012,PF,AP,PF - Empregado de empresa privada,9851287.17,AMAPÁ
30,30,2012,PF,BA,PF - Empregado de empresa privada,353268836.25,BAHIA
37,37,2012,PF,CE,PF - Empregado de empresa privada,121414016.12,CEARÁ
44,44,2012,PF,DF,PF - Empregado de empresa privada,218616222.2,DISTRITO FEDERAL
51,51,2012,PF,ES,PF - Empregado de empresa privada,158217596.25,ESPÍRITO SANTO
58,58,2012,PF,GO,PF - Empregado de empresa privada,243248811.66,GOIÁS
65,65,2012,PF,MA,PF - Empregado de empresa privada,82010503.26,MARANHÃO
72,72,2012,PF,MG,PF - Empregado de empresa privada,732673842.8100001,MINAS GERAIS
79,79,2012,PF,MS,PF - Empregado de empresa privada,85691417.61,MATO GROSSO DO SUL
86,86,2012,PF,MT,PF - Empregado de empresa privada,151021468.87,MATO GROSSO
93,93,2012,PF,PA,PF - Empregado de empresa privada,109127680.93,PARÁ
100,100,2012,PF,PB,PF - Empregado de empresa privada,46848885.53,PARAÍBA
107,107,2012,PF,PE,PF - Empregado de empresa privada,168930151.82,PERNAMBUCO
114,114,2012,PF,PI,PF - Empregado de empresa privada,20670657.66,PIAUÍ
121,121,2012,PF,PR,PF - Empregado de empresa privada,577725400.18,PARANÁ
128,128,2012,PF,RJ,PF - Empregado de empresa privada,1070884719.1,RIO DE JANEIRO
136,136,2012,PF,RN,PF - Empregado de empresa privada,54135216.25,RIO GRANDE DO NORTE
143,143,2012,PF,RO,PF - Empregado de empresa privada,27077900.09,RONDÔNIA
150,150,2012,PF,RR,PF - Empregado de empresa privada,5512480.66,RORAIMA
157,157,2012,PF,RS,PF - Empregado de empresa privada,625098188.25,RIO GRANDE DO SUL
165,165,2012,PF,SC,PF - Empregado de empresa privada,329447537.66,SANTA CATARINA
172,172,2012,PF,SE,PF - Empregado de empresa privada,41522580.0,SERGIPE
179,179,2012,PF,SP,PF - Empregado de empresa privada,4642952130.44,SÃO PAULO
187,187,2012,PF,TO,PF - Empregado de empresa privada,22157620.22,TOCANTINS
721,2,2013,PF,AC,PF - Empregado de empresa privada,10019716.5,ACRE
728,9,2013,PF,AL,PF - Empregado de empresa privada,57389477.67,ALAGOAS
735,16,2013,PF,AM,PF - Empregado de empresa privada,143896123.06,AMAZONAS
742,23,2013,PF,AP,PF - Empregado de empresa privada,8919531.72,AMAPÁ
749,30,2013,PF,BA,PF - Empregado de empresa privada,416969293.69,BAHIA
756,37,2013,PF,CE,PF - Empregado de empresa privada,135026724.15,CEARÁ
763,44,2013,PF,DF,PF - Empregado de empresa privada,246567614.16,DISTRITO FEDERAL
770,51,2013,PF,ES,PF - Empregado de empresa privada,182348624.84,ESPÍRITO SANTO
777,58,2013,PF,GO,PF - Empregado de empresa privada,252299903.27,GOIÁS
784,65,2013,PF,MA,PF - Empregado de empresa privada,97090922.66,MARANHÃO
791,72,2013,PF,MG,PF - Empregado de empresa privada,855286188.22,MINAS GERAIS
798,79,2013,PF,MS,PF - Empregado de empresa privada,88677324.96,MATO GROSSO DO SUL
805,86,2013,PF,MT,PF - Empregado de empresa privada,146606814.26,MATO GROSSO
812,93,2013,PF,PA,PF - Empregado de empresa privada,136847581.43,PARÁ
819,100,2013,PF,PB,PF - Empregado de empresa privada,54928998.730000004,PARAÍBA
827,108,2013,PF,PE,PF - Empregado de empresa privada,196134294.88,PERNAMBUCO
834,115,2013,PF,PI,PF - Empregado de empresa privada,24972989.26,PIAUÍ
841,122,2013,PF,PR,PF - Empregado de empresa privada,632947516.87,PARANÁ
848,129,2013,PF,RJ,PF - Empregado de empresa privada,1243990482.76,RIO DE JANEIRO
856,137,2013,PF,RN,PF - Empregado de empresa privada,58654272.65,RIO GRANDE DO NORTE
863,144,2013,PF,RO,PF - Empregado de empresa privada,29850374.85,RONDÔNIA
870,151,2013,PF,RR,PF - Empregado de empresa privada,6115305.46,RORAIMA
877,158,2013,PF,RS,PF - Empregado de empresa privada,662206290.9,RIO GRANDE DO SUL
885,166,2013,PF,SC,PF - Empregado de empresa privada,368932169.12,SANTA CATARINA
892,173,2013,PF,SE,PF - Empregado de empresa privada,49333307.77,SERGIPE
899,180,2013,PF,SP,PF - Empregado de empresa privada,5168631765.56,SÃO PAULO
907,188,2013,PF,TO,PF - Empregado de empresa privada,23554181.9,TOCANTINS
1444,2,2014,PF,AC,PF - Empregado de empresa privada,9951759.64,ACRE
1451,9,2014,PF,AL,PF - Empregado de empresa privada,57704972.42,ALAGOAS
1458,16,2014,PF,AM,PF - Empregado de empresa privada,138234102.53,AMAZONAS
1465,23,2014,PF,AP,PF - Empregado de empresa privada,9215466.03,AMAPÁ
1472,30,2014,PF,BA,PF - Empregado de empresa privada,401970000.23,BAHIA
1479,37,2014,PF,CE,PF - Empregado de empresa privada,137116358.53,CEARÁ
1486,44,2014,PF,DF,PF - Empregado de empresa privada,232496450.73000002,DISTRITO FEDERAL
1493,51,2014,PF,ES,PF - Empregado de empresa privada,192851875.81,ESPÍRITO SANTO
1500,58,2014,PF,GO,PF - Empregado de empresa privada,275746439.53,GOIÁS
1507,65,2014,PF,MA,PF - Empregado de empresa privada,92403114.71,MARANHÃO
1514,72,2014,PF,MG,PF - Empregado de empresa privada,861089042.71,MINAS GERAIS
1521,79,2014,PF,MS,PF - Empregado de empresa privada,92729342.03,MATO GROSSO DO SUL
1528,86,2014,PF,MT,PF - Empregado de empresa privada,158135964.36,MATO GROSSO
1535,93,2014,PF,PA,PF - Empregado de empresa privada,134180932.69,PARÁ
1542,100,2014,PF,PB,PF - Empregado de empresa privada,54489399.69,PARAÍBA
