,Unnamed: 0,ano,cliente,uf,ocupacao,ativo_problematico,coluna_estado
6,6,2012,PF,AC,PF - Servidor ou empregado público,70712861.89,ACRE
13,13,2012,PF,AL,PF - Servidor ou empregado público,127561937.05,ALAGOAS
20,20,2012,PF,AM,PF - Servidor ou empregado público,197365247.85,AMAZONAS
27,27,2012,PF,AP,PF - Servidor ou empregado público,127167300.31,AMAPÁ
34,34,2012,PF,BA,PF - Servidor ou empregado público,451300577.55,BAHIA
41,41,2012,PF,CE,PF - Servidor ou empregado público,234286315.58,CEARÁ
48,48,2012,PF,DF,PF - Servidor ou empregado público,688856663.69,DISTRITO FEDERAL
55,55,2012,PF,ES,PF - Servidor ou empregado público,140505442.32,ESPÍRITO SANTO
62,62,2012,PF,GO,PF - Servidor ou empregado público,402106581.01,GOIÁS
69,69,2012,PF,MA,PF - Servidor ou empregado público,168159913.73,MARANHÃO
76,76,2012,PF,MG,PF - Servidor ou empregado público,669089726.12,MINAS GERAIS
83,83,2012,PF,MS,PF - Servidor ou empregado público,151222086.74,MATO GROSSO DO SUL
90,90,2012,PF,MT,PF - Servidor ou empregado público,223544894.56,MATO GROSSO
97,97,2012,PF,PA,PF - Servidor ou empregado público,258377796.02,PARÁ
104,104,2012,PF,PB,PF - Servidor ou empregado público,164009868.49,PARAÍBA
111,111,2012,PF,PE,PF - Servidor ou empregado público,270361571.99,PERNAMBUCO
118,118,2012,PF,PI,PF - Servidor ou empregado público,110605674.38,PIAUÍ
125,125,2012,PF,PR,PF - Servidor ou empregado público,349690223.33,PARANÁ
133,133,2012,PF,RJ,PF - Servidor ou empregado público,1402933696.22,RIO DE JANEIRO
140,140,2012,PF,RN,PF - Servidor ou empregado público,156804104.45,RIO GRANDE DO NORTE
147,147,2012,PF,RO,PF - Servidor ou empregado público,114169132.09,RONDÔNIA
154,154,2012,PF,RR,PF - Servidor ou empregado público,73479790.13,RORAIMA
162,162,2012,PF,RS,PF - Servidor ou empregado público,557938089.42,RIO GRANDE DO SUL
169,169,2012,PF,SC,PF - Servidor ou empregado público,221360296.22,SANTA CATARINA
176,176,2012,PF,SE,PF - Servidor ou empregado público,117600975.69,SERGIPE
184,184,2012,PF,SP,PF - Servidor ou empregado público,1652584638.04,SÃO PAULO
191,191,2012,PF,TO,PF - Servidor ou empregado público,109292823.29,TOCANTINS
